리뷰키,카테고리 코드,제품명,브랜드,모델코드,리뷰,도움 수,사진 수,댓글 수,텍스트 길이,기본값 1,작성시간,경과시간,인기 점수
6Dy9waz,FOOD_DISP,LG헬로비전,그린싱크D 음식물처리기 (22년 신모델),SH-7000A,"장점 :
친정에 했어요
설치기사님 깔끔하게 잘 해주셨어요
제품도 만족합니다.

단점 :
다음엔 한번에 처리할 수 있는 용량이 더 큰걸로 할까 싶기도 하네요
",0,0,0,207,1,2022-10-13 13:09:40,135,-1.262601388
6Dy9wb0,AIRPU,코웨이,노블 공기청정기 15평형,AP-1521B,"장점 :
좋아요 공기청정기이것저것다써봤는데 좋아요 공기정화도잘되고 최고

단점 :
단점은없지만 자동으로돌다가 꺼졋으면좋겠는데 죙일돌아가요ㅎㅎㅎ
",0,2,0,208,1,2022-10-13 18:37:51,135,-0.2088596401
6Dy9wf9,FOOD_DISP,에콥,친환경 전자동 AI 로봇 음식물처리기 4L,ECP-900,"장점 :
확실히 전자동으로 되니까 편하네요.
하나하나 신경써야하고 그런것들이 없는 느낌?
그리고 어플리케이션으로 포인트 쌓이는게 새롭게 재미있네요.
막 사람들 후기 보면 얼마 모았다, 이런 것들도 봤는데 직접 해보니까 비교도 되고 그래요

단점 :
귀가 예민한 편이라 집안이 조용하면 소리가 들리는데,
이건 어떤것을 써도 똑같지 않을까 싶네요
",0,0,0,468,1,2023-01-19 17:34:56,121,0.156872429
6Dy9wfA,FOOD_DISP,에콥,친환경 전자동 AI 로봇 음식물처리기 4L,ECP-900,"장점 :
뚜껑 열고 닫는게 편해서 좋아요.
보통 음식물 처리 할때 불편한 것 중 하나가 막 손에 묻을까 걱정하고 그런거잖아요?
그런데 아직은 그런 경험은 없습니다. 그리고 소음도 집에 냉장고나 그런 것들 생각하면 크게 상관할 필요없는 정도라 만족하고 있어요

단점 :
겉에 투명한것 대신 흰색으로 다 칠해져 있어서 더 깔끔해서 좋았을 것 같아요
",0,0,0,463,1,2023-01-19 17:34:56,121,0.156872429
6Dy9wfB,FOOD_DISP,에콥,친환경 전자동 AI 로봇 음식물처리기 4L,ECP-900,"장점 :
디자인이 딱 깔끔해서 좋음.
그냥 친구들이 집에 와서 보면 음식물 처리기하고 생각을 안함.
그리고 냄새가 안나서 그냥 집안에 둬도 전혀 신경을 안쓰이는게 장점인듯.

단점 :
위에 손잡이 동그란거 대신에 그냥 터치해서 열리고 닫히게 되어있었으면 더 깔끔하고 좋았을듯.
그런데 그렇게까지 하면 이가격에 사용할 수 없었을 것 같아서 현재로 만족함..
",2,0,0,479,1,2023-01-19 17:34:56,121,2.059065545
6Dy9wjA,AIRPU,LG헬로비전,에어로닥터 공기청정기 15평형,WAD-M20,"장점 :
일단 가성비가 너무 좋네요.
진짜 저렴하게 선택한 것 같아요!!!
아무래도 다 가격이 달라서 찾아본다고 고생했는데 열심히 시간 쓴 보람이 있네요.
그리고 디자인이 워낙 깔끔해서 집안에 어디에 두어도 눈에 띄지 않는게 마음이 아주 편안해요...

단점 :
굳이 꼽자면... 에너지 소비 등급이 4등급인것..?
뭐 사실 많이 써도 큰 액수 차이는 없어서 크게 신경쓰이지는 않네요
",0,0,0,501,1,2023-01-19 17:34:56,121,0.156872429
6Dy9wjB,AIRPU,LG헬로비전,에어로닥터 공기청정기 15평형,WAD-M20,"장점 :
글 읽고 할필요 없이 그냥 불빛으로 공기상태 확인이 가능해서 좋음.
그리고 무슨 바이러스 제거해준다고 해서 특히 끌렸는데, 요즘에 독감이나 코로나가 심해서 이후의 건강을 위해서라도 구입을 했음.
기왕이면 이 가격에 바이러스 제거도 된다고 딱 나와있는거 사는게 좋을 것 같았음

단점 :
민트색이라서 뭔가 처음에는 눈에 좀 띄고 그랬는데, 인간은 적응의 동물이라고.. 
지금은 눈에 들어오지도 않음.
뭔가 오히려 더 깨끗한 느낌임
",0,0,0,591,1,2023-01-19 17:34:56,121,0.156872429
6Dy9wjC,AIRPU,LG헬로비전,에어로닥터 공기청정기 15평형,WAD-M20,"장점 :
솔직히 공기청정기 하나로 모든 방을 커버할 수는 없다보니 따로 한방에 둘 것을 찾아보고 있었는데, 
이 가격에 이정도 기능이면 정말 잘 선택했다고 생각합니다.
저렴한 편이라 사기전에 걱정을 좀 했는데 상담사분도 친절하시고 사용해보니 괜한 걱정을 했구나 싶었습니다. 딱 마음에 듭니다.

단점 :
다른것들처럼 바퀴도 있으면 좋겠다는 생각이 드네요;
별거 아니긴 한데 전에 쓰던건 있었다보니 아쉬운 부분~
사실 무게도 그렇게 무겁지 않아서 큰 상관은 없긴 해요.
",1,0,0,634,1,2023-01-19 17:34:56,121,0.9848500731
6Dy9wve,AIR_COND,위니아,둘레바람 에어컨 2in1 17평형+7평형,SPVW17EDSCQM,"장점 :
일단 저는 한여름에 설치했는데 진짜 더워 죽을뻔하던때에 딱 마침 설치해주셔서 너무 감사했어요
우선 틀면 금세 아이스방으로 변신 추워서 끄면 곰팡이생길까 혼자 제습모드바꿔서 천천히 습기를 말리믄서 꺼짐 

단점 :
단점은 음 굳이 단점 못찾는게 단점??단점을 못찾았음여
그냥 배송도 빠르고 성능도 좋고 최고임여
",0,2,0,436,1,2023-02-03 16:12:21,119,1.295699233
6Dy9wzh,WASH_DRY,위니아,스마트패키지 세탁기 12kg+건조기 10kg,WWR10MEDIP,"장점 :
일단 저희집이 4층인데 사다리차가 안되서 개별로 다 들고 군말없이 친절히 배송해주셔서 좋았고 설치도 빠르고 세탁도 말끔하게되는데 바로 되자마자 건조기에 넣으면 뽀송뽀송 비오는날이고 뭐고 필요없음
리모컨도 있어서 리모컨으로 작동가능

단점 :
단점...음 건조기같은건 가스냄새가 살짝 나긴하는데 세탁실에 두고 쓰는거라 상관무
",0,2,0,462,1,2023-02-03 16:15:03,119,1.295699233
6Dy9wzo,AIRPU,코웨이,노블 공기청정기 15평형,AP-1521B,"장점 :
일단크고 디자인 심플해서 괜찮아요

소음도 괜찮고

바퀴도있어서 이동은편해요

단점 :
단점이라면 풍단계가없어서 아쉽네요

겉면 청소하기가 힘들어요

이거빼고 뭐
",0,2,0,234,1,2023-02-03 16:20:28,119,-0.2254116478
6Dy9x3s,BIDET,코웨이,더블케어 비데,BAS37-A,"장점 :
일단 스텐노즐이라 안심이 되었고 자동세척기능이 있어 편리합니다. 비데를 첨 써보는데 우리 가족 모두 만족하면서 쓰고 있어요~~

단점 :
비데가 너무 좋아서 비데에 계속 앉아있고 싶어요..
더 이상 단점은 없어요
",0,2,1,294,1,2023-02-03 16:24:17,119,0.5034539824
6Dy9x3u,FOOD_DISP,에콥,친환경 전자동 AI 로봇 음식물처리기 4L,ECP-900,"장점 :
장점이라면 집밖으로 버리러 안가는점이 제일편리하고요
냄새없이 처리할수있어서 좋아요

단점 :
단점이라면 이것도 한번쓰고 갈아줘야하기때문에

적응양엔 쫌 쓰기얘매하죠

딱히단점은없어요
",0,2,0,271,1,2023-02-03 16:25:05,119,0.3450049324
6DyADVk,DRE,LG,스타일러 오브제컬렉션 (5벌+바지1벌),S5MBPU,"장점 :
처음 사용할때는 잘 몰랐는데 막상 이용해보니
상당히 좋아요 외투는 외출하고 돌아오면 한번씩 돌려요
시트 이용하면 좋은향이 남아서 드라이 맡긴것 같아요

단점 :
아직은 없네요 생각보다 크기가 크다는정도..?
그것말고는 단점은 아직 없어요
",0,1,0,336,1,2023-02-03 16:27:50,119,-0.2616992803
6DyADVn,TV,삼성,QLED TV 55인치,KQ55QB60AFXKR,"장점 :
티비사이즈가  커서 새로운경험이였어요
티비도잘보이고 모니터용 티비썼다가
큰티비로 보니 새롭고 좋네요

단점 :
단점이라곤 딱히없는데ㅋㅋ
굳이 없는거같아요 티비큰걸시켜서 큰게온거라서ㅋㅋㅋ
",4,2,0,279,1,2023-02-03 16:28:00,119,4.759018045
6DyADVo,BIDET,코웨이,스스로케어 비데 (BAS29-C),BAS29-C,"장점 :
사용버튼들이 직관적이고 세정기능 중 무브 버튼이 있어서 세정이 잘됩니다
또란 두달마다 관리해주시는 분이 방문해주셔서 클리닝 및 부품 교체도 잘해주셔서 편리하게 잘쓰고 있습니다😊

단점 :
한가지 아쉬운 점이 있다면 요새 자동세척 기능이 있는 비데제품들이 많아서 그 기능이 있으면 좋겠다는 생각이 들었어요 🥲 필수적인 기능은 아니라서 그래도 가성비가 좋은 제품이라 잘 사용하고 있습니다👍
",0,2,0,554,1,2023-02-03 16:28:07,119,1.295699233
6DyADmE,FRG,LG,디오스 오브제 얼음정수기냉장고 노크온,W823SGS472S,"장점 :
1. 얼음이 나오니 홈카페 가능(얼음도 3가지 종류로 다양하게 즐길 수 있다)

2. 노크한번으로 음료칸의 음료확인으로 빠른 선택가능


단점 :
1. 전에 냉장고에 비해 높이가 낮은거같고 많이 들어가지 않는거같아요.

2. 온수가 안되니 따로 온수기필요.

",0,2,0,340,1,2023-02-03 16:34:27,119,0.3450049324
6DyADyc,FOOD_DISP,SK매직,에코클린 음식물처리기 단품,FDDFM031LSBG,"장점 :
건조식 음쓰처리기의 혁신이라 불릴만 합니다. 음쓰 넣으면 10분의1로 부피줄고 냄새도 그리 역하진 않아요 그냥 버리면 되구요 무엇보다 건조식의 단점인 수증기 안올라오고 필터 자주 안갈아서 좋아요 만족!

단점 :
음쓰가 1시간 간격 정도로 추가해서 넣어야 할때 뜨거워져서 식혀지느라 조금 기다렸다 추가해서 넣어야 해요 음쓰버릴때 마른 음쓰에서 냄새가 나긴해요 강한 구수함이랄까 음쓰 상한 냄새보다는 맡을만 해요
",1,2,0,575,1,2023-02-03 16:40:32,119,2.131998333
6DyAE6r,AIRPU,LG,퓨리케어 오브제컬렉션 360도 공기청정기 32평형,AS322DSFAM,"장점 :
일단 첫번째는 디자인인것같아요
거실에 놓는 대용량 청정기이다 보니 디자인이 중요하더라구요
두번째는 당연히 공기청정기능이겠죠?
대용량 필터가 2개나 들어가고 365도 안좋은 공기나 냄새를 흡입해주니 타제품보다 공기 정화나 냄새 제거를 빨리 해주는것 같더라구요
세번째는 무빙휠이 있어 어디든 쉽게 옮겨 놓고 사용이 가능해서 너무 편하더라구요
마지막으로 가격입니다
집에 동일브랜드 식기세척기를 렌탈해서 사용중인데
퓨리케어 오브제컬렉션 360° 공기청정기 렌탈하니 5천원 할인을 해주더라구요 땡잡은 느낌?ㅎㅎ


단점 :
단점은 딱 하나 겨울에 근처에 놓으면 워낙 흡입력도 좋은데 360도 흡입을 해서 정화된 공기를 여기 저기 보내주다보니 살짝 추워요ㅎㅎ
",0,2,0,907,1,2023-02-03 16:43:54,119,4.908337574
6DyAE6t,MATTR,코웨이,비렉스 프라임 매트리스 슈퍼싱글(SS),CMSS-S03M,"장점 :
신생아 침대를 고민하다가 우연히 렌탈 서비스를 알게되어 신청했어요
일단 메트리스 케어를 받을수 있어 위생상 너무 좋구요🙂
아기가 있어 침대가 더러우질이 많은데 한결 안심이 됩니다
그리고 메트리스 쿠션감도 적당해서 애기가 자기 괜찮아서 신생아 침대 고민중이신분들 추천해요🥳

단점 :
처음 상품 설치하고 나니 냄새가 좀 나서 환기를 많이 시켰어요 ㅠㅠ
그리고 당초에 배송 시 기사분 2분 오신다고 했는데 한분만 했네요 설치에 문제는 없었지만.. 
뭔가 아쉽네요😟
",0,2,0,648,1,2023-02-03 16:45:08,119,1.295699233
6DyAUh3,FOOD_DISP,SK매직,에코클린 음식물처리기 단품,FDDFM033REMB,"장점 :
디자인도 좋았고 소음도 거의 없다시피했습니다. 필터는 1년정도 쓸수있다하여 필터값도 많이 절약되고 내통이 분리되는 형태라 본체는 다용도실에두고 내통만 주방에두어 음식물을 보관할수있어 아주 편리했습니다. 

단점 :
신제품이라 그런지 오류가많아 초기 작동멈춤현상으로 두번 교환하였고 필터가 오래쓸수있다고는 하나 냄새많이나는 음식물을 처리하면 그래도 찝찝한 냄새가 있습니다. 그래서 주방에 본체를 놓고 사용하면 냄새가 좀 나지싶습니다. 그리고 as신청하면 대기가 많아 기본 1주이상은 기다려야 하는것도 단점이긴합니다.
",0,2,0,733,1,2023-02-03 16:56:30,119,4.528059854
6DyAUh6,FOOD_DISP,LG헬로비전,그린싱크D 음식물처리기 (22년 신모델),SH-7000A,"장점 :
처음 음식물 처리기를 사용하는데 너무 만족 하고
잘 사용하고 있습니다 엘지 쵝오😊👍🏻

단점 :
굳이 단점으로 뽑자면 소음 조금 있는거? 그외 단점은 없는거 같아요 엘지 굳굳
",0,2,0,248,1,2023-02-03 16:56:37,119,-0.2254116478
6DyAUl8,BIDET,SK매직,올클린 버블 살균 비데,BIDS36DR26WH,"장점 :
살균기능 및 버블클린 기능이 정말 실사용시 마음에 드는 기능들입니다.
비데는 솔직히 거기서 거기라고 생각했는데
이제품사용한지 1년쯤 되고나니 버블클린은 필수입니다.

단점 :
버블세정제가 가끔 리크가 생겨 바닥으로 새어나올때가 있습니다. as 문의 및 접수 방문하실때 굉장히 친절하셨고
빠른대응으로 해결해주셔서 그이후로 문제될게 전혀없습니다.
",0,2,0,487,1,2023-02-03 16:58:39,119,1.295699233
6DyAUlD,DRE,LG,스타일러 오브제컬렉션 (5벌+바지1벌),S5BBPU,"장점 :
세탁소안가서좋음......1ㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣ

단점 :
ㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣ
",0,2,0,187,1,2023-02-03 17:00:17,119,-0.2254116478
6DyAUpF,AIRPU,코웨이,노블 공기청정기 20평형,AP-2021A,"장점 :
디자인이 고급스러워서 인테리어를 헤치치않아서 선택했어요. 
기존 다*슨 제품보다 안정감도 있고 공기정화 탈취기능도 빠른듯해요.
주방에 음식후 공기청정기 필수 작동하는데요
기존사용제품보다 더 효과가 좋은거 같아요
소음도 정음으로하면 틀었나 안틀었나 못느낄 정도예요. 
사이즈가생각보다 큰데 바퀴가있어서 이동하기 너무 편해요. 
정음기능뿐아라 터보기능이나 냄새를찾아 그부분으로 뚜껑방향이 바뀌어 좋아요. 
색깔로도 공기상태릉 확인가능하여 더좋은거같아요~
아이있는집에 필수템입니다. 

단점 :
단점은,,꼽자면,,.
위에말했듯이 생각보다 사이즈가 커요. 
다른제품도 사이즈 큰제품들이 많긴한데요. 
그래도 생각보다는 크다,,,
받을때 느낌이 그랬습니다~
",0,2,0,912,1,2023-02-03 17:02:00,119,4.908337574
6DyAUpJ,KIM_FRG,LG,컨버터블 패키지 오브제컬렉션 김치냉장고 324L,Z321GC3S,"장점 :
디자인이 좋아요 컨버터블이라 냉장고도 같이 쓸 수 있어요. ....,

단점 :
냉동칸 김치칸 따로없어요 
 ... ........ ..,..,.,
",0,2,0,166,1,2023-02-03 17:05:37,119,-0.2254116478
6DyAUpL,DRY,LG,TROMM 오브제컬렉션 건조기 20kg,RD20ESE,"장점 :
좋아요....... ....................

단점 :
단점은 따로 없는거 같아요................... 
",0,2,0,114,1,2023-02-03 17:07:03,119,-0.2254116478
6DyAUtT,AIRPU,LG,퓨리케어 오브제컬렉션 360° 공기청정기 알파 34평형 (일반 필터),AS352NB1A1M,"장점 :
기존에 사용하는 제품보다 디자인 기능 더 좋아요
특히  인공지능 좋아요 ... 

단점 :
단점은. 따로 없습니다.....................
",0,2,0,174,1,2023-02-03 17:13:12,119,-0.2254116478
6DyAUxY,AIRPU,SK매직,올클린 공기청정기 25평형,ACL25C1AS,"장점 :
설치시점에 시국이 시국인것도있고 강아지도 한마리 키우는상태에서 임신중인상태였음 
아무리 깨끗하게해도 털날림등 없을수가없는상태였는데
공기청정기 들인뒤로 걱정안함 알아서 공기상태체크해주고 열일하는중 굉장히 만족하는중

단점 :
타사 공기청정기 제품도 쓰고있지만 확실히 고기.생선을 굽는다치면 그날 열일하느라 바쁜데 그만큼 소음이 다른제품에비해 큰편임
",0,2,0,513,1,2023-02-03 17:17:50,119,1.295699233
6DyAUxd,AIRPU,코웨이,노블 공기청정기 15평형,AP-1521B,"장점 :
아기가 태어난후로 새집으로 이사도오고 호흡기쪽으로 많이 아팠어서 부모맘이 맘인지라 혹시몰라 한대 더 들였는데..정수기.온수기도 써봤는데 as.주기적인점검을봤을땐 데인게 많아 추천안하고싶지만 제품만 봤을땐 추천하고싶음 거실에서 쓰고있는제품은 펫기능은없는데 이제품은 펫기능까지있어서 반려동물키우는집에서 좋다고생각함 알아서 열일도하고 소리도 그렇게 큰편도아니여서 거슬릴정도아니라 만족하며 사용중

단점 :
다른제품썻을때 관리로봤을때 브랜드 추천하고싶지않지만, 이제품만봤을땐 괜찮은 제품임
소음도 큰편도아니고 알아서 열일해주니 단점이라고할게없음
",0,1,0,794,1,2023-02-03 17:24:00,119,3.921355641
6DyAV1f,AIRPU,코웨이,노블 공기청정기 15평형,AP-1521B,"장점 :
제품을 이곳 저곳 다 알아봤지만 여기 제품은 다른데 보다 깔끔 하면서 세련된 디자인에 컬러도 4가지 컬러♡
공기정화도 잘되고 소음도 적으며 밑 부분에 바퀴가 있어서 이동이 편하고 마이펫 모드가 있다는 점이 젤 좋았어요^^저희 집은 강아지 고양이를 키우기 때문에 미세한 먼지 케어와 전후 좌우 원하는 방향으로 공기를 보낼수 있으며 음식 해먹음 냄새 탈취도 금방 없어지는것 같더라구요^^
또 한가지 좋은점은 집안의 공기질을 전면 표시창 색상으로 어떤지 알수 있어서 좋고 뒷면 열고 필터를 직접 확인할수 있다는 것과 터치식이라 편해요

단점 :
제품이 좀 무겁고 킬때는 편한데 끌때가 성질 급한 저한테는 불편 하네요^^
",0,2,0,847,1,2023-02-03 17:27:24,119,4.528059854
6DyAV5n,AIRPU,코웨이,노블 공기청정기 15평형,AP-1521B,"장점 :
이 제품은 그냥 혁명 그잡채에요 ,, 일단 저는 소리에 예민한 사람이거든요 ! 근데 전에 쓰던 제품은 소리가 너무 커서 잘때는 무조건 그냥 끄고 잤었는데 이제품 제가 불을 끄면 같이 조용해져요 자동시스템이 너무 잘돼 있고 자취방에서 요리 하면 하루종일 집안에서 냄새 나는거 너무 싫어서 밥도 잘 안해먹었는데 냄새를 무슨 10초만에 잡아줘요 ,, 이거 사기에요 완젼 ,, 진짜 지금까지 살면서 썼던 공기청정기 중에 원탑 ,,🙏🏻

단점 :
단점은 단 하나 . 너무 일을 잘해서 밤에 불 끄면 자동시스템이라 얘도 조용해지고 불빛도 안나는데 꺼진줄 안다니깐요 ?ᩚ !?ᩚ !?ᩚ ! 이건 일을 잘해도 너무 잘해서 증말 ,,,
",0,2,0,820,1,2023-02-03 17:33:59,119,4.528059854
6DyAV5o,AIRPU,LG,퓨리케어 오브제컬렉션 360° 공기청정기 알파 34평형 (펫 필터),AS352NS2A1M,"장점 :
1.디자인이 인테리어적으로 우수하다
2.인공지능 기능이 있어서 편리하다
3.강아지 냄새를 효과적으로 제거해준다

단점 :
2개월정도 사용해본 결과 광장히 만족스럽습니다. 딱히 단점은 없습니다.
",0,2,0,269,1,2023-02-03 17:34:25,119,0.3450049324
6DyAV5r,BIDET,코웨이,더블케어 플러스 비데,BAS38-A,"장점 :
1. 깔끔한 디자인이 좋습니다
2. 자동개폐 및 버튼으로 개폐가 가능하다는 점이 좋습니다.
3. 자동 세척기능이 있어 편리합니다

단점 :
커버 자동열림 설정 시 굉장히 민감해서 밤에 자동으로 열려서 깜짝 놀란 적이 있습니다. 다행히 자동개폐를 버튼식으로 변경할 수 있어서 편리합니다
",0,2,0,388,1,2023-02-03 17:38:25,119,0.3450049324
6DyAlfu,AIRPU,청호,하이마운틴 공기청정기 48평형,AP-40H8230,"장점 :
크고 짱짱해서 좋아요 추천해요 묵직하니 힘도 느껴지구요 30평에는 이정도는 써야 한대서 쓰는데 만족합니다 

단점 :
크고 든든한 디자인이라 둘 데가 엄청 많진 않아요 쪼그만 공기청정기랑 달리 꽤 크거든요 김치냉장고 4분의 1 사이즈에요 
",0,2,0,331,1,2023-02-03 18:00:19,119,0.3450049324
6DyAlfy,AIRPU,LG,퓨리케어 오브제컬렉션 360° 공기청정기 알파 34평형 (일반 필터),AS352NS1A1M,"장점 :
공기청정효과 기가맥힙니다 ㅎㅎ 
미세먼지 심한날 창문열자마자 화난것처럼 작동해요🥹
냄새도 흡수가 빨라 음식을 해도 금방사라져서 
거실에 놓고 쓰고있어요 
아이가 있어서 많이 고민하고 선택했는데 후회없습니다


단점 :
공기청정할때 바람이 좀 냉하게 나오고 소리가 좀 큰편이예요 그만큼 빨리 냄새와 공기청정하는 효과는 있어요ㅎㅎ
",0,2,0,469,1,2023-02-03 18:03:27,119,1.295699233
6DyAlo9,BIDET,SK매직,올클린 버블 살균 비데,BIDS36DR26WH,"장점 :
버블로 변기 안쪽을 뿔려주면, 변기가 말끔하게 세척이 잘된다는게 
높은 점수를 주고 싶습니다.

단점 :
크게 단점이라 말할사항은 없네요. 꾸준히 기능 및 업그래드가 되었으면 합니다.
",0,2,0,256,1,2023-02-03 18:20:03,119,0.3450049324
